               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,                   0,            0.007033,                   0,                   0,                   0,                   0,                   0,                   0,            0.002677,                   0,            0.070326,           0.0032971,           0.0032971
                   1,                   0,           0.0016503,                   0,                   0,                   0,                   0,                   0,                   0,          0.00087285,                   0,            0.040195,           0.0064992,           0.0064992
                   2,                   0,          0.00058264,                   0,                   0,                   0,                   0,                   0,                   0,          0.00033372,                   0,           0.0099315,           0.0095692,           0.0095692
                   3,                   0,          0.00023705,                   0,                   0,                   0,                   0,                   0,                   0,          0.00015109,                   0,            0.009406,            0.009406,            0.009406
                   4,                   0,          0.00012384,                   0,                   0,                   0,                   0,                   0,                   0,           9.442e-05,                   0,            0.009406,            0.009406,            0.009406
                   5,                   0,          8.4365e-05,                   0,                   0,                   0,                   0,                   0,                   0,           7.065e-05,                   0,            0.009208,            0.009208,            0.009208
                   6,                   0,          6.6242e-05,                   0,                   0,                   0,                   0,                   0,                   0,          5.7976e-05,                   0,             0.00901,             0.00901,             0.00901
                   7,                   0,           5.559e-05,                   0,                   0,                   0,                   0,                   0,                   0,          4.9828e-05,                   0,            0.008812,            0.008812,            0.008812
                   8,                   0,          4.8379e-05,                   0,                   0,                   0,                   0,                   0,                   0,          4.4009e-05,                   0,            0.008614,            0.008614,            0.008614
                   9,                   0,          4.3154e-05,                   0,                   0,                   0,                   0,                   0,                   0,          3.9711e-05,                   0,            0.008416,            0.008416,            0.008416
                  10,                   0,           3.912e-05,                   0,                   0,                   0,                   0,                   0,                   0,          3.6232e-05,                   0,            0.008218,            0.008218,            0.008218
                  11,                   0,          3.5923e-05,                   0,                   0,                   0,                   0,                   0,                   0,          3.3396e-05,                   0,             0.00802,             0.00802,             0.00802
                  12,                   0,          3.3269e-05,                   0,                   0,                   0,                   0,                   0,                   0,          3.0987e-05,                   0,            0.007822,            0.007822,            0.007822
                  13,                   0,          3.1051e-05,                   0,                   0,                   0,                   0,                   0,                   0,          2.9324e-05,                   0,            0.007624,            0.007624,            0.007624
                  14,                   0,          2.9238e-05,                   0,                   0,                   0,                   0,                   0,                   0,           2.745e-05,                   0,            0.007426,            0.007426,            0.007426
                  15,                   0,          2.7619e-05,                   0,                   0,                   0,                   0,                   0,                   0,           2.605e-05,                   0,            0.007228,            0.007228,            0.007228
                  16,                   0,          2.6242e-05,                   0,                   0,                   0,                   0,                   0,                   0,          2.4854e-05,                   0,             0.00703,             0.00703,             0.00703
                  17,                   0,          2.5064e-05,                   0,                   0,                   0,                   0,                   0,                   0,          2.3754e-05,                   0,            0.006832,            0.006832,            0.006832
                  18,                   0,          2.3997e-05,                   0,                   0,                   0,                   0,                   0,                   0,          2.2874e-05,                   0,            0.006634,            0.006634,            0.006634
                  19,                   0,          2.3092e-05,                   0,                   0,                   0,                   0,                   0,                   0,          2.1924e-05,                   0,            0.006436,            0.006436,            0.006436
